Gene	Gene
PSMD7	END
TRIP11	END
ENDOG	END
LIG4	END
CELSR3	END
DRD1	END
RNF4	END
CDC25A	END
MNT	END
PPP1CB	END
SPNS1	END
PITPNB	END
CLEC1B	END
SCUBE1	END
TGFB3	END
TRIM28	END
MRE11A	END
ISL2	END
MEST	END
BAG3	END
PDGFC	END
IMPAD1	END
SLC5A7	END
ANO1	END
LRP4	END
SEMA3C	END
ILF3	END
NARFL	END
PPP1R13L	END
PXMP3,PEX2	END
ACHE	END
GJC1	END
CAPN7	END
GAMT	END
EPHB4	END
MARK2	END
HSPA5	END
SLC35D1	END
TBR1	END
FNDC3B	END
SCRIB	END
ITGA5	END
RAF1	END
ICMT	END
GIT1	END
WHSC1	END
ZFAT	END
MIXL1	END
COX15	END
SMOC1	END
KAT7	END
NPPC	END
S100A8	END
PDGFA	END
LAMA4	END
NDEL1	END
UNC45B	END
ACTR3	END
LPAR1	END
KCNK5	END
BPTF	END
ANXA7	END
FBXO45	END
CREB3L2	END
SPEN	END
INVS	END
OR13A1	NDNE
METTL25	NDNE
PSMC2	NDNE
C3orf79	NDNE
THOC3	NDNE
C5orf34	NDNE
TSPYL1	NDNE
SMEK1	NDNE
TRIM6-TRIM34	NDNE
FER1L6	NDNE
S1PR5	NDNE
MRPL13	NDNE
RSPH14	NDNE
TPRA1	NDNE
SFRS2IP,SCAF11	NDNE
PRMT8	NDNE
TRPM2	NDNE
KRTAP2-4	NDNE
SLC17A9	NDNE
TMEM138	NDNE
CALU	NDNE
MRPL54	NDNE
CLDN17	NDNE
RGS7BP	NDNE
NME5	NDNE
LGALS7B	NDNE
TMSB10	NDNE
ISG15	NDNE
SLC10A1	NDNE
LRRC53	NDNE
SULT1A3	NDNE
DHRS13	NDNE
STMND1	NDNE
THOC6	NDNE
RGP1	NDNE
PTBP3	NDNE
CHAF1B	NDNE
ZKSCAN5	NDNE
VTI1B	NDNE
CYB561	NDNE
CBX1	NDNE
DCAF4L2	NDNE
MAP9	NDNE
P2RY12	NDNE
TPRG1L	NDNE
APPL2	NDNE
LIPH	NDNE
C6orf203	NDNE
LIPF	NDNE
FZD7	NDNE
CMSS1	NDNE
DVL1	NDNE
BET1	NDNE
KRTAP4-2	NDNE
C1QL3	NDNE
CPAMD8	NDNE
MFSD7	NDNE
SRGAP3	NDNE
H1FOO	NDNE
TGDS	NDNE
GNA14	NDNE
OCEL1	NDNE
DEPTOR	NDNE
TAS2R41	NDNE
EPM2AIP1	NDNE
GINS2	NDNE
VRK3	NDNE
LSS	NDNE
CRY2	NDNE
CA6	NDNE
GSTZ1	NDNE
GPR39	NDNE
CKAP4	NDNE
DYDC2	NDNE
SHE	NDNE
SIX5	NDNE
RNF41	NDNE
TUBA1C	NDNE
GYLTL1B	NDNE
GINS3	NDNE
MSH6	NDNE
RGS11	NDNE
WTIP	NDNE
C6orf1	NDNE
ARMC10	NDNE
OPRK1	NDNE
CC2D1B	NDNE
POLR2B	NDNE
EXOSC10	NDNE
GPAT2	NDNE
RHOJ	NDNE
PVRL4	NDNE
CNTNAP3	NDNE
FAM102B	NDNE
CRLS1	NDNE
CLRN2	NDNE
KDELR3	NDNE
BCL7A	NDNE
GOLPH3L	NDNE
VPS4A	NDNE
NOTUM	NDNE
RNF25	NDNE
C17orf67	NDNE
ADRA1B	NDNE
FBXO38	NDNE
CCDC93	NDNE
KBTBD3	NDNE
TRIM17	NDNE
APOBR	NDNE
SAMD3	NDNE
SBK2	NDNE
SNRPA	NDNE
TCTA	NDNE
KIF19	NDNE
AKAP5	NDNE
RRP8	NDNE
ZDHHC18	NDNE
MIA	NDNE
IRF2BPL	NDNE
TMEM43	NDNE
ST7-OT4	NDNE
AIDA	NDNE
CCDC66	NDNE
ARHGAP8	NDNE
C17orf85	NDNE
C1QTNF2	NDNE
RHBDF1	NDNE
UGT1A10	NDNE
UGGT2	NDNE
NEDD8	NDNE
ZNF514	NDNE
UBQLNL	NDNE
SYTL2	NDNE
ZNF350	NDNE
RAB27B	NDNE
VPS41	NDNE
TMEM62	NDNE
CCT4	NDNE
NHLRC3	NDNE
POLE3	NDNE
GK5	NDNE
MYOD1	NDNE
OR11H6	NDNE
TEX33	NDNE
ZSCAN5B	NDNE
RAB13	NDNE
WDR76	NDNE
CCNB1IP1	NDNE
ABCD4	NDNE
GLB1L2	NDNE
COL15A1	NDNE
TNFSF13	NDNE
SLAMF6	NDNE
FAM89A	NDNE
ZCRB1	NDNE
SLC9A3R2	NDNE
RNF208	NDNE
ZFP2	NDNE
OR1J1	NDNE
ZNF764	NDNE
LINC01118	NDNE
SMC5	NDNE
NEUROD6	NDNE
TSNAX-DISC1	NDNE
ATP8A1	NDNE
MAPRE2	NDNE
UBE2G2	NDNE
ZNF236	NDNE
H3F3B	NDNE
BPIFB6	NDNE
ARPC5	NDNE
TMEM64	NDNE
GPR148	NDNE
CCNE2	NDNE
KCNH6	NDNE
CRISP3	NDNE
KRTAP4-4	NDNE
RANBP17	NDNE
ERLIN1	NDNE
DSCC1	NDNE
FAM44B,BOD1	NDNE
ADAMTSL4-AS1	NDNE
OSBP2	NDNE
RAB3IL1	NDNE
BICD1	NDNE
RPRD2	NDNE
LIMCH1	NDNE
SLK	NDNE
TOR4A	NDNE
TIAM2	NDNE
ZNF546	NDNE
ADCY10	NDNE
RANBP10	NDNE
ZNF713	NDNE
MTMR11	NDNE
PTPRZ1	NDNE
C17orf64	NDNE
RPL37A	NDNE
DQX1	NDNE
PDE6G	NDNE
FAM172A	NDNE
ARMC1	NDNE
LRRC3C	NDNE
RPL7L1	NDNE
CD5L	NDNE
KLHL20	NDNE
KDM4A,JMJD2A	NDNE
TMEM56	NDNE
WWC2	NDNE
DAPL1	NDNE
PAXIP1-AS2	NDNE
GGNBP1	NDNE
TSSK4	NDNE
ATP1B3	NDNE
PPFIBP1	NDNE
TRIM65	NDNE
GFPT1	NDNE
GGPS1	NDNE
PLEKHB2	NDNE
EMCN	NDNE
ZNF564	NDNE
SLC22A25	NDNE
EPB41L4A	NDNE
GPR160	NDNE
FBXO4	NDNE
OR10AB1P	NDNE
PIWIL2	NDNE
NEK3	NDNE
BIVM	NDNE
WFDC10A	NDNE
KIR3DL2	NDNE
B3GALT4	NDNE
WDR78	NDNE
TBCE	NDNE
APCS	NDNE
ZFYVE20	NDNE
CCDC148	NDNE
PROSER2	NDNE
POLR3GL	NDNE
POLR1E	NDNE
COX7A2L	NDNE
CHRFAM7A	NDNE
RTBDN	NDNE
SLC24A2	NDNE
APC2	NDNE
FASTK	NDNE
TRIM63	NDNE
GJC3	NDNE
SMARCC2	NDNE
OGFOD3	NDNE
PABPC3	NDNE
YTHDC2	NDNE
CLPTM1	NDNE
COPS7A	NDNE
B2M	NDNE
ANKRD53	NDNE
KCTD8	NDNE
C7orf43	NDNE
CCDC177	NDNE
CELF2,CUGBP2	NDNE
DUOX1	NDNE
GABRA5	NDNE
MAP4K3	NDNE
CAPN1	NDNE
ADCK1	NDNE
VNN3	NDNE
SSTR1	NDNE
TEX22	NDNE
KCNMA1	NDNE
SCGN	NDNE
OR4F3	NDNE
RFTN1	NDNE
GPR68	NDNE
E2F5	NDNE
ZNF777	NDNE
SLC22A17	NDNE
C22orf34	NDNE
ZNF503	NDNE
VPS36	NDNE
RRM2B	NDNE
FRMPD1	NDNE
PILRB	NDNE
TBC1D20	NDNE
TRIM62	NDNE
GLB1L	NDNE
TAOK3	NDNE
RIIAD1	NDNE
AVPR1B	NDNE
OR13J1	NDNE
MORN1	NDNE
ODF3L2	NDNE
CTHRC1	NDNE
OR2M7	NDNE
RAET1G	NDNE
KRT35	NDNE
SSFA2	NDNE
UBXN1	NDNE
NUP93	NDNE
ARPP21	NDNE
CCT5	NDNE
ZNF664	NDNE
PPP1CA	NDNE
NUDT13	NDNE
E2F7	NDNE
NQO2	NDNE
ENO4	NDNE
FMO4	NDNE
ARFGAP3	NDNE
TMEM132D	NDNE
GCHFR	NDNE
ST3GAL2	NDNE
SEC24C	NDNE
PELI1	NDNE
PHLDB2	NDNE
PIK3AP1	NDNE
DDI2	NDNE
HECTD3	NDNE
TMA16	NDNE
USP17L30	NDNE
C20orf62	NDNE
CLIP2	NDNE
SULT1C4	NDNE
LYRM2	NDNE
ZNF425	NDNE
NLRP9	NDNE
MB21D2	NDNE
RAB2B	NDNE
PRR20D	NDNE
PIGC	NDNE
C17orf53	NDNE
ACACB	NDNE
ATPAF1	NDNE
PTCHD4	NDNE
SAP30BP	NDNE
SPATA3	NDNE
SIRT7	NDNE
PGC	NDNE
IL17B	NDNE
FOXB2	NDNE
TRIB3	NDNE
FARSB	NDNE
CXXC4	NDNE
ATG4D	NDNE
CAMTA1	NDNE
NEK5	NDNE
SLC6A2	NDNE
MRGPRX4	NDNE
CYP2C8	NDNE
ICAM5	NDNE
NXPH1	NDNE
SLC8B1	NDNE
NUDCD3	NDNE
GNAT3	NDNE
CLEC19A	NDNE
AK9	NDNE
EFCAB8	NDNE
TIGD6	NDNE
EML2	NDNE
FBRS	NDNE
OR13C4	NDNE
MMP1	NDNE
ALDH1B1	NDNE
C1orf85	NDNE
ABCB4	NDNE
KLHL2	NDNE
ARL14EP	NDNE
RBM11	NDNE
DEFB127	NDNE
GBP5	NDNE
ZADH2	NDNE
POLR2H	NDNE
MAGI3	NDNE
PIGM	NDNE
DEFB103A	NDNE
SLC44A2	NDNE
MEI1	NDNE
ECH1	NDNE
ABCB10	NDNE
TSEN15	NDNE
RTN2	NDNE
BTNL9	NDNE
METTL17	NDNE
AGMO	NDNE
HCAR1	NDNE
PLXNA2	NDNE
IGSF21	NDNE
CNN3	NDNE
AKR7A3	NDNE
HAPLN3	NDNE
DFNB59	NDNE
IER2	NDNE
NDUFAF3	NDNE
RGS16	NDNE
KCTD2	NDNE
TP53I3	NDNE
TMEM150C	NDNE
PIGQ	NDNE
TMEM186	NDNE
C5orf28	NDNE
OR7G1	NDNE
VWCE	NDNE
TECPR1	NDNE
CCNI2	NDNE
MRPL47	NDNE
PUS7L	NDNE
RNF167	NDNE
CCKBR	NDNE
GAPDHS	NDNE
CTAGE5	NDNE
SLC25A51	NDNE
C18orf32	NDNE
CACTIN	NDNE
OCLN	NDNE
LCE1A	NDNE
GAPVD1	NDNE
XRCC6BP1	NDNE
LINGO3	NDNE
ST20-MTHFS	NDNE
PAK1IP1	NDNE
ZNF501	NDNE
GPR84	NDNE
MYLIP	NDNE
PIGU,CDC91L1	NDNE
C9orf24	NDNE
RARB	NDNE
C11orf24	NDNE
KCNA4	NDNE
MUC12	NDNE
GTF2A1L	NDNE
ACY3	NDNE
OR5AC2	NDNE
CDRT15L2	NDNE
GOLGA5	NDNE
ORM2	NDNE
MIB2	NDNE
FEZ2	NDNE
S100A12	NDNE
OR51B5	NDNE
DDX39B,BAT1	NDNE
G3BP2	NDNE
CIDEC	NDNE
KIAA1755	NDNE
PTBP1	NDNE
UTP23	NDNE
CA10	NDNE
FBLIM1	NDNE
PTDSS1	NDNE
GCNT6	NDNE
OR5K4	NDNE
MPHOSPH6	NDNE
RNASE10	NDNE
TRMT112	NDNE
SEC22A	NDNE
ZNF439	NDNE
C7orf55	NDNE
ELAC1	NDNE
CPEB1	NDNE
SLC2A14	NDNE
SLC2A10	NDNE
SPATA20	NDNE
NT5E	NDNE
TMEM221	NDNE
FCRL6	NDNE
PLA2G7	NDNE
TWF1	NDNE
MIR1-1HG	NDNE
PPBP	NDNE
FBXO27	NDNE
IGSF22	NDNE
ERLIN2	NDNE
OASL	NDNE
ZSCAN22	NDNE
C16orf52	NDNE
ADSSL1	NDNE
CEACAM6	NDNE
URB2	NDNE
B4GALNT4	NDNE
RNF215	NDNE
PGAP3	NDNE
CCDC103	NDNE
ABCB1	NDNE
MFSD12	NDNE
SYNGR4	NDNE
KIAA0895L	NDNE
FAM166B	NDNE
NDUFS3	NDNE
SMCO2	NDNE
XKR3	NDNE
TSACC	NDNE
ESYT3	NDNE
HTR1F	NDNE
PABPN1	NDNE
CLEC6A	NDNE
B4GALNT1	NDNE
AK2	NDNE
NACAD	NDNE
C1orf61	NDNE
GPC2	NDNE
PARVG	NDNE
RPL17-C18orf32	NDNE
ZNF419	NDNE
TRAPPC9	NDNE
DTD2	NDNE
LRRC66	NDNE
HK3	NDNE
CAMKV	NDNE
ANKK1	NDNE
SCARA5	NDNE
IRS2	NDNE
PRSS50	NDNE
PAPD4	NDNE
ARHGEF35	NDNE
BRPF1	NDNE
KIAA0556	NDNE
SMIM7	NDNE
CYTH1	NDNE
QARS	NDNE
PLA2G4B	NDNE
IFNA14	NDNE
KRT32	NDNE
CLTCL1	NDNE
RLN2	NDNE
EDDM3A	NDNE
YBX2	NDNE
MSR1	NDNE
PTPDC1	NDNE
ZNF507	NDNE
MAN1B1	NDNE
TMPRSS2	NDNE
MRTO4	NDNE
CTTNBP2	NDNE
GRP	NDNE
COMMD5	NDNE
KCNT1	NDNE
GFOD1	NDNE
AKR1C2	NDNE
AKAP1	NDNE
MRPS25	NDNE
KIRREL2	NDNE
ZNF706	NDNE
PGLYRP3	NDNE
ZNF313,RNF114	NDNE
TRAPPC6B	NDNE
SLC35G6	NDNE
LRRN1	NDNE
FAM214B	NDNE
SHISA8	NDNE
C12orf73	NDNE
BHLHE40	NDNE
SMC2	NDNE
CRYBB1	NDNE
C7orf60	NDNE
ANO10	NDNE
CABP4	NDNE
PRR20C	NDNE
ARL6IP1	NDNE
TEX14	NDNE
CAT	NDNE
NDUFA6	NDNE
AFAP1	NDNE
JUND	NDNE
CPSF6	NDNE
SUMO4	NDNE
C1QTNF1	NDNE
RGPD2	NDNE
ACSL5	NDNE
MPZL1	NDNE
APPBP2	NDNE
IGFBPL1	NDNE
CST8	NDNE
NSL1	NDNE
FAM149B1	NDNE
GIMAP2	NDNE
SLC25A44	NDNE
CXCR6	NDNE
LYRM4	NDNE
FFAR3	NDNE
XPNPEP3	NDNE
DAGLB	NDNE
SLC9A2	NDNE
PDXK	NDNE
OR11L1	NDNE
NLRP12	NDNE
PRAME	NDNE
C8orf87	NDNE
MFF	NDNE
IGFBP6	NDNE
TTF1	NDNE
MIA2	NDNE
DENND3	NDNE
KCNA7	NDNE
ERICH4	NDNE
C1orf210	NDNE
NXPH2	NDNE
TP53I11	NDNE
IFFO2	NDNE
DBF4	NDNE
A4GNT	NDNE
HSPA13	NDNE
UBA52	NDNE
NT5C1A	NDNE
FCHO1	NDNE
KLHL28	NDNE
NDUFC1	NDNE
OAZ3	NDNE
OR1E1	NDNE
ADAMTS16	NDNE
MYH3	NDNE
DIRAS2	NDNE
MTRNR2L9	NDNE
TMEM71	NDNE
LPCAT2	NDNE
RNF11	NDNE
CBWD3	NDNE
CDV3	NDNE
ZNF333	NDNE
LRRC23	NDNE
FDCSP	NDNE
LRP11	NDNE
FAM133B	NDNE
SMC3	NDNE
LSMEM2	NDNE
CHRNA9	NDNE
SPSB2	NDNE
MROH2A	NDNE
SCRN2	NDNE
LMOD3	NDNE
CECR1	NDNE
FHL2	NDNE
PTGR1	NDNE
U2AF2	NDNE
SEC14L3	NDNE
CDKN1B	NDNE
KIAA0040	NDNE
PRAMEF9	NDNE
GSTA5	NDNE
ANGPTL7	NDNE
SLC1A1	NDNE
ZNF730	NDNE
SERPINE3	NDNE
CHIC2	NDNE
ZNHIT6	NDNE
FAM161A	NDNE
HGSNAT	NDNE
RPUSD2	NDNE
NNMT	NDNE
HYAL3	NDNE
IDH3B	NDNE
WNT2B	NDNE
PIWIL1	NDNE
CPSF4L	NDNE
CD101	NDNE
KRTAP23-1	NDNE
C4orf47	NDNE
SKP2	NDNE
TTC30A	NDNE
SLC25A18	NDNE
TNFAIP8L3	NDNE
LRRTM2	NDNE
TTC39A	NDNE
ANP32E	NDNE
SFT2D1	NDNE
NUTF2	NDNE
C12orf60	NDNE
ENOX1	NDNE
ADPRHL1	NDNE
MTRNR2L11	NDNE
ACOT2	NDNE
FAM92A1	NDNE
TRIP6	NDNE
PGPEP1L	NDNE
OR1M1	NDNE
C2orf44	NDNE
PPIL3	NDNE
ECHDC1	NDNE
NRSN2	NDNE
FAM186B	NDNE
USP17L13	NDNE
TEKT2	NDNE
SLC41A2	NDNE
CCL27	NDNE
VPS33A	NDNE
HES3	NDNE
VPS16	NDNE
MARCH4	NDNE
TMCO4	NDNE
PLCH1	NDNE
TAS2R10	NDNE
IQCK	NDNE
TMED5	NDNE
DEFB106B	NDNE
C6orf47	NDNE
UBASH3B	NDNE
RMND1	NDNE
DNAH14	NDNE
ARCN1	NDNE
N4BP3	NDNE
OR2G2	NDNE
HAUS5	NDNE
C1orf127	NDNE
PGBD4	NDNE
RAB26	NDNE
ITGB7	NDNE
TRAPPC10	NDNE
NAE1	NDNE
CDH26	NDNE
ACOT13	NDNE
DAAM2	NDNE
BMP8A	NDNE
IFIT3	NDNE
OSER1	NDNE
PTPRM	NDNE
KCNF1	NDNE
CGB8	NDNE
DHDDS	NDNE
RGPD5	NDNE
HNRNPH1	NDNE
SLX1A	NDNE
PYGB	NDNE
C17orf107	NDNE
C1orf131	NDNE
TBC1D1	NDNE
SCARF2	NDNE
VIT	NDNE
ZNF544	NDNE
C6orf173,CENPW	NDNE
RLN3	NDNE
TSPAN2	NDNE
PDXP	NDNE
ANKUB1	NDNE
PLGRKT	NDNE
C10orf99	NDNE
RDS,PRPH2	NDNE
CDC6	NDNE
ADAM9	NDNE
USP17L29	NDNE
NCCRP1	NDNE
TRMT61B	NDNE
SRGAP1	NDNE
GCN1L1	NDNE
HIST1H1A	NDNE
TMPRSS11D	NDNE
CSTA	NDNE
GSTK1	NDNE
FAR1	NDNE
TRIM48	NDNE
TMEM19	NDNE
MAP2K3	NDNE
LIPG	NDNE
TTC21A	NDNE
PRDM8	NDNE
ASB5	NDNE
FOXK1	NDNE
GYPC	NDNE
PYCARD-AS1	NDNE
GUCY1A2	NDNE
PI4KA	NDNE
BLZF1	NDNE
CD22	NDNE
TMEM132C	NDNE
RRAD	NDNE
ACOT11	NDNE
CD70	NDNE
CCDC175	NDNE
STK17A	NDNE
PPP5D1	NDNE
SPATA2L	NDNE
C16orf71	NDNE
MMRN2	NDNE
AQP3	NDNE
OR10AD1	NDNE
CCNG1	NDNE
DCLRE1A	NDNE
PPP1R36	NDNE
P4HTM	NDNE
FMO6P	NDNE
KIAA1731NL	NDNE
HTN1	NDNE
EAF1	NDNE
AXL	NDNE
FDXR	NDNE
ABCA5	NDNE
FAM179B	NDNE
ZNF683	NDNE
DOK4	NDNE
RNF175	NDNE
ARHGEF37	NDNE
SAMD4A	NDNE
TANC1	NDNE
NDUFB1	NDNE
UQCC2	NDNE
GRIA4	NDNE
NUFIP2	NDNE
TUBB2B	NDNE
PIGG	NDNE
CASC4	NDNE
KRT73	NDNE
GNPDA2	NDNE
PXMP2	NDNE
CEP70	NDNE
DHX35,C20orf15	NDNE
MRGPRF	NDNE
ZG16B	NDNE
EIF3L	NDNE
CDC16	NDNE
CABP7	NDNE
C15orf54	NDNE
NDST2	NDNE
PATL2	NDNE
RBM42	NDNE
SLC38A1	NDNE
POGK	NDNE
NAP1L4	NDNE
DDX19A	NDNE
STRA13	NDNE
CCDC24	NDNE
GCC2	NDNE
SPG11	NDNE
CEP120	NDNE
TTC7B	NDNE
ALPI	NDNE
CABP2	NDNE
UFL1	NDNE
NMS	NDNE
RASAL1	NDNE
FAM210A	NDNE
OR4D9	NDNE
TLR2	NDNE
RPL36	NDNE
PROZ	NDNE
SLC45A3	NDNE
POLD4	NDNE
SERTM1	NDNE
HBP1	NDNE
SEZ6	NDNE
PRMT6	NDNE
C15orf2,NPAP1	NDNE
GNL2	NDNE
CFAP70	NDNE
GOLGA2	NDNE
TNIK	NDNE
FKBP15	NDNE
PIANP	NDNE
RC3H1	NDNE
SLC13A4	NDNE
GNAT2	NDNE
TSR1	NDNE
RING1	NDNE
PRLH	NDNE
SUCLG2	NDNE
SEC23B	NDNE
PRR14	NDNE
TMEM87A	NDNE
EPHX4	NDNE
HSPA2	NDNE
ZNF440	NDNE
PHLPP2	NDNE
CLDN25	NDNE
DSTYK	NDNE
EEF1B2	NDNE
RPL18A	NDNE
PHF23	NDNE
GPR149	NDNE
GPR141	NDNE
UPK3A	NDNE
RPL34	NDNE
EPHB6	NDNE
FAM216A	NDNE
ZFP91-CNTF	NDNE
NPIPA3	NDNE
OGN	NDNE
RAB4A	NDNE
UCP2	NDNE
ACTL6A	NDNE
ZNF326	NDNE
GPR144	NDNE
C1orf220	NDNE
FAM20A	NDNE
ARMC4	NDNE
DACT3	NDNE
GPR89B	NDNE
DEFB124	NDNE
CLTA	NDNE
NAIP	NDNE
CFAP45	NDNE
CHN1	NDNE
GLP2R	NDNE
EXOC3L4	NDNE
PRLR	NDNE
MTO1	NDNE
C1orf137	NDNE
C22orf46	NDNE
SMIM3	NDNE
JAKMIP3	NDNE
TAS2R13	NDNE
NMNAT1	NDNE
SPX	NDNE
HDC	NDNE
NCK2	NDNE
C1orf228	NDNE
SFTPA1	NDNE
NFATC2IP	NDNE
TMEM50A	NDNE
DGAT1	NDNE
CDC27	NDNE
C2CD4C	NDNE
KPNA6	NDNE
NUDT5	NDNE
SLC39A3	NDNE
WFDC13	NDNE
DUSP18	NDNE
KIAA1024	NDNE
ST8SIA4	NDNE
LACTB2	NDNE
OR5D16	NDNE
IQCJ-SCHIP1	NDNE
RNPS1	NDNE
ESYT2	NDNE
RPS17	NDNE
TPBG	NDNE
OSBPL5	NDNE
MPHOSPH8	NDNE
ZNF684	NDNE
NPB	NDNE
NKX1-2	NDNE
ZC3H7A	NDNE
OR52N4	NDNE
TCEB3C	NDNE
BLOC1S6	NDNE
OR4C11	NDNE
TMEM99	NDNE
CRABP2	NDNE
WDPCP	NDNE
TMEM238	NDNE
TIMM23B	NDNE
ZNF516	NDNE
ESD	NDNE
NABP2	NDNE
FUOM	NDNE
PCDHB3	NDNE
PPP1R2	NDNE
MSL1	NDNE
PKP3	NDNE
FIBP	NDNE
ADPGK	NDNE
CPA4	NDNE
CRYGB	NDNE
FABP2	NDNE
MARCH2	NDNE
NRCAM	NDNE
EEF1E1-BLOC1S5	NDNE
CHRNB3	NDNE
TUSC1	NDNE
C22orf24	NDNE
ZNF239	NDNE
FARS2	NDNE
MAN2C1	NDNE
ZMYND10	NDNE
PROB1	NDNE
CSMD3	NDNE
IGFBP3	NDNE
AOX1	NDNE
IGFBP4	NDNE
FOXJ2	NDNE
TMEM243,C7orf23	NDNE
ZNF620	NDNE
PAQR3	NDNE
SAMD7	NDNE
C15orf48	NDNE
RAPGEF3	NDNE
CYP2C18	NDNE
SH3BGR	NDNE
RSPH10B2	NDNE
VASP	NDNE
GPD1	NDNE
AMBP	NDNE
XXYLT1	NDNE
SLMO1	NDNE
DPYSL5	NDNE
AP4E1	NDNE
LINC01558	NDNE
MYH13	NDNE
MED13	NDNE
LINC01555	NDNE
LRRC58	NDNE
CD3D	NDNE
IGSF10	NDNE
ASB16	NDNE
SLC27A1	NDNE
ADPRM	NDNE
KRTAP2-1	NDNE
FAM153B	NDNE
COX14	NDNE
SLC9C2	NDNE
IMMT	NDNE
ZFP69B	NDNE
ATP5J2	NDNE
SPAG16	NDNE
CD300LG	NDNE
GNB2L1	NDNE
UGT1A7	NDNE
S100Z	NDNE
OR7A17	NDNE
AADACL4	NDNE
TPGS1	NDNE
GLRX2	NDNE
SH3BP5L	NDNE
THYN1	NDNE
TUBB	NDNE
ZC3H8	NDNE
EMC9	NDNE
TTLL5	NDNE
ELOVL7	NDNE
DHX16	NDNE
FBXO25	NDNE
SAP18	NDNE
ZNF497	NDNE
DDAH2	NDNE
RNF7	NDNE
SLC16A7	NDNE
SLC1A4	NDNE
STX11	NDNE
HSDL2	NDNE
TRAK1	NDNE
SERTAD3	NDNE
FAM72B	NDNE
OARD1	NDNE
EIF4E1B	NDNE
C12orf66	NDNE
PSPH	NDNE
KIAA0430	NDNE
SEC23IP	NDNE
C22orf31	NDNE
COLEC10	NDNE
ZDHHC11	NDNE
ZSCAN5A	NDNE
PPP2R4	NDNE
BCAM	NDNE
TMIGD1	NDNE
C1orf198	NDNE
A2M	NDNE
RALGDS	NDNE
GJD4	NDNE
PRR26	NDNE
RTP5	NDNE
SIRPD	NDNE
TMEM183A	NDNE
NHLRC1	NDNE
TMEM86A	NDNE
FASTKD5	NDNE
CAPN15	NDNE
HRNR	NDNE
OR5M9	NDNE
SNX9	NDNE
FAM8A1	NDNE
IGFBP5	NDNE
OXCT2	NDNE
MYL10	NDNE
RFPL4A	NDNE
ZNF799	NDNE
MDS2	NDNE
UGT2B15	NDNE
ZMAT5	NDNE
ABCB6	NDNE
ATP6V1G2	NDNE
PLXNA4	NDNE
MTA1	NDNE
MED29	NDNE
RWDD2A	NDNE
EIF3M	NDNE
DYNC1LI2	NDNE
CYP8B1	NDNE
PTPN21	NDNE
TSPAN9	NDNE
GLP1R	NDNE
CISH	NDNE
NCBP2	NDNE
ZNF211	NDNE
GJA4	NDNE
PAICS	NDNE
PCNXL4	NDNE
HOXD9	NDNE
SMIM5	NDNE
CECR6	NDNE
TMEM55B	NDNE
RAB3GAP1	NDNE
CCDC28B	NDNE
PROM1	NDNE
EGR1	NDNE
TBC1D15	NDNE
MED18	NDNE
TMEM57	NDNE
FOXD2	NDNE
NADK2	NDNE
LGALS8	NDNE
SAPCD1	NDNE
OR5C1	NDNE
XPOT	NDNE
LRP10	NDNE
OR2M4	NDNE
FADS6	NDNE
WDR34	NDNE
SNTB2	NDNE
IFRD2	NDNE
ADNP2	NDNE
RPS6KA1	NDNE
TRIM36	NDNE
CHDH	NDNE
FNDC5	NDNE
TMPRSS5	NDNE
TMTC3	NDNE
MYCT1	NDNE
ERP27	NDNE
TPST2	NDNE
LRIG3	NDNE
PITRM1	NDNE
OR51J1	NDNE
PTPLA	NDNE
WIPF1	NDNE
U2AF1L4	NDNE
SLC2A7	NDNE
C16orf70	NDNE
FBXO44	NDNE
LRRN3	NDNE
RAB8A	NDNE
DNLZ	NDNE
SFSWAP	NDNE
BAHD1	NDNE
PAPPA	NDNE
GRIN2D	NDNE
ATP11B	NDNE
LYNX1	NDNE
LSM2	NDNE
CHIT1	NDNE
CNNM3	NDNE
DOHH	NDNE
HAUS4	NDNE
KRTAP3-2	NDNE
EME1	NDNE
ART5	NDNE
PALM3	NDNE
SQLE	NDNE
UMODL1	NDNE
FRG2B	NDNE
OR51H1	NDNE
TLCD1	NDNE
OR2L13	NDNE
ZMAT3	NDNE
MMP20,MMP25	NDNE
PPP1R27	NDNE
CCDC124	NDNE
TMEM236	NDNE
FERD3L	NDNE
AFAP1L2	NDNE
GALNT2	NDNE
TRIM66	NDNE
KIAA0355	NDNE
DTX2	NDNE
KRTAP10-6	NDNE
LONRF2	NDNE
STAG3L3	NDNE
SLX4IP	NDNE
MYO10	NDNE
NETO2	NDNE
TROAP	NDNE
TMEM108	NDNE
PJA2	NDNE
XCL1	NDNE
SYDE2	NDNE
RALBP1	NDNE
TEX35	NDNE
AADACL2	NDNE
TEKT4	NDNE
AP1AR	NDNE
SHMT1	NDNE
CEP83	NDNE
C19orf40	NDNE
GATC	NDNE
SPACA4	NDNE
FAM129C	NDNE
PRNT	NDNE
ANKIB1	NDNE
MAP1LC3B	NDNE
C14orf177	NDNE
NAF1	NDNE
SLC16A10	NDNE
GPSM2	NDNE
TMEM14E	NDNE
ZNF407	NDNE
MRPL36	NDNE
FAM193B	NDNE
ST8SIA6	NDNE
PMEL	NDNE
PTPN1	NDNE
PPTC7	NDNE
SPG21	NDNE
HELZ	NDNE
PHLDA3	NDNE
PRB4	NDNE
PLD6	NDNE
ESRP2	NDNE
OR6C3	NDNE
PM20D2	NDNE
SH3GL1	NDNE
AADACL3	NDNE
PLXNC1	NDNE
