Gene	Gene
RP9	MNC
SERPINI1	MNC
LIFR	MNC
FANCD2	MNC
EDARADD	MNC
C1R	MNC
CHST6	MNC
HLCS	MNC
SLC2A1	MNC
ALOX12B	MNC
MPO	MNC
IL12RB1	MNC
ACADS	MNC
CYP11B1	MNC
MYOC	MNC
BBS2	MNC
CTSC	MNC
PON1	MNC
TOR1A	MNC
PANK2	MNC
CLCN1	MNC
ERCC6	MNC
UMPS	MNC
GH1	MNC
DNAI1	MNC
PINK1	MNC
VKORC1	MNC
AGPS	MNC
KIF21A	MNC
ABCA12	MNC
GDAP1	MNC
KCNJ1	MNC
DPAGT1	MNC
DPYS	MNC
GJB2	MNC
GM2A	MNC
PTCH2	MNC
ALG6	MNC
ARG1	MNC
COMT	MNC
ITM2B	MNC
MSH2	MNC
FKRP	MNC
SLC16A1	MNC
TULP1	MNC
BCKDHB	MNC
EXT2	MNC
HCRT	MNC
ETFB	MNC
PLAT	MNC
SOX10	MNC
NPHS2	MNC
NCF2	MNC
CYBA	MNC
IKBKAP	MNC
CFTR	MNC
MYH7	MNC
FLNB	MNC
FGB	MNC
NPHS1	MNC
CHD7	MNC
CAV3	MNC
TGM1	MNC
RUNX2	MNC
KRT10	MNC
PMP22	MNC
POLG	MNC
HBG2	MNC
TSHR	MNC
AIPL1	MNC
NEUROD1	MNC
ZIC2	MNC
HK1	MNC
SPAST	MNC
GALK1	MNC
OXCT1	MNC
CES1	MNC
FOXC1	MNC
PAX6	MNC
EIF2B3	MNC
RAPSN	MNC
GCLC	MNC
WT1	MNC
PMS2	MNC
CYP11A1	MNC
OPN1SW	MNC
HESX1	MNC
RHAG	MNC
MMACHC	MNC
FBLN1	MNC
GRK1	MNC
MYH8	MNC
FXN	MNC
KCNQ2	MNC
SMPD1	MNC
FXYD2	MNC
COL9A3	MNC
ABCC8	MNC
SLC5A5	MNC
SMN1	MNC
OPA1	MNC
IFNGR1	MNC
RET	MNC
PRKCG	MNC
ATP2A2	MNC
FLNC	MNC
HRG	MNC
GPR56	MNC
COMP	MNC
HSD17B4	MNC
CHRNE	MNC
HSPB8	MNC
BLM	MNC
GNAS	MNC
SLC3A1	MNC
COL3A1	MNC
PRNP	MNC
TPM1	MNC
C8A	MNC
RFX5	MNC
CSRP3	MNC
RPGRIP1	MNC
MYO5A	MNC
EVC2	MNC
ACVRL1	MNC
EYA1	MNC
SFTPB	MNC
LEPR	MNC
AGXT	MNC
MYL2	MNC
PAPSS2	MNC
C8B	MNC
ASL	MNC
NDUFS7	MNC
RPIA	MNC
MPZ	MNC
ERCC2	MNC
GARS	MNC
BLOC1S3	MNC
NDUFV1	MNC
FANCA	MNC
SGCE	MNC
BDNF	MNC
APRT	MNC
MEFV	MNC
RDH5	MNC
KRT17	MNC
EDN3	MNC
CHRNA1	MNC
ABCB11	MNC
GALE	MNC
GYS2	MNC
ACADL	MNC
DNAJC19	MNC
KRT12	MNC
DCTN1	MNC
COL17A1	MNC
TPM3	MNC
THPO	MNC
GNAT1	MNC
CYP2R1	MNC
PAX8	MNC
LAMB3	MNC
SDHB	MNC
PRPF8	MNC
HPS3	MNC
KRT6B	MNC
PPOX	MNC
ALDOA	MNC
MOCS1	MNC
CPT2	MNC
MLC1	MNC
CYP19A1	MNC
VHL	MNC
COL4A3	MNC
APP	MNC
DECR1	MNC
TRH	MNC
LBR	MNC
KRT9	MNC
TNNT2	MNC
ITGA2	MNC
MLH1	MNC
AK1	MNC
SALL1	MNC
ACAT1	MNC
TNNI3	MNC
ACADVL	MNC
TWIST1	MNC
REN	MNC
ATIC	MNC
GIF	MNC
TACSTD2	MNC
PEX26	MNC
SLC26A4	MNC
XPC	MNC
GSS	MNC
VPS13A	MNC
PLEKHG4	MNC
COL4A4	MNC
POMT1	MNC
OAT	MNC
CYP2C9	MNC
SLC12A1	MNC
CLCN2	MNC
CEP290	MNC
SPG7	MNC
EIF2B5	MNC
DTNBP1	MNC
FBP1	MNC
NSD1	MNC
GJA8	MNC
KERA	MNC
PTH	MNC
SCNN1A	MNC
GUSB	MNC
TYROBP	MNC
ZMPSTE24	MNC
CDAN1	MNC
MUT	MNC
CRX	MNC
UNG	MNC
FGFR1	MNC
AGTR1	MNC
